STUDENT_ID,GRAD_APPL_DATE,GRADUATION_DATE,GRADUATED_IND,TOTAL_CREDITS,DEGREE_TYPE,MAJOR,DEPARTMENT,COLLEGE,REQUIRED_HOURS,FULLY_ONLINE_IND,AID_ELIGIBLE_IND,HONORS,OVERALL_GPA,SEMESTER,GENDER,RACE,HISPANIC_IND,EVER_CONCURRENT_IND,EVER_PELL_ELIGIBLE_IND,FIRST_ENROLLED,TRANSFER_CREDITS,ILLOGICAL_DATES,BELOW_CREDITS,MISSING
6053497.0,2018-04-23 09:57:00,2021-05-06,N,89.0,Associates,Engineering/Mechanical,Unknown,Unknown,73.0,U,U,,3.633,Spring 2021,,,,,,,,False,False,False
5332847.0,2017-08-10 14:27:00,2021-05-06,N,69.0,Associates,Business Management,Business Management,Business,,N,N,,2.357,Spring 2021,,,,,,,,False,False,False
5332847.0,2016-12-15 15:46:00,2021-05-06,N,69.0,Associates,Computer Sci & Info Systems,Comp. Sciences & Info. Systems,Business,,N,N,,2.357,Spring 2021,,,,,,,,False,False,False
5404310.0,2018-04-23 15:00:00,2021-05-06,N,94.0,Associates,Visual Arts - Design Spec.,Visual Arts & Design,"Arts, Comm, & New Media",69.0,N,N,,3.779,Spring 2021,,,,,,,,False,False,False
5816064.0,2017-01-13 12:43:00,2021-05-06,N,16.0,Associates,Business,Business Management,Business,61.0,N,N,,1.354,Spring 2021,,,,,,,,False,True,False
4033773.0,2016-12-07 13:06:00,2021-05-06,N,27.0,Associates,Social Work,Social Work,Humanities & Social Sciences,63.0,N,N,,1.387,Spring 2021,,,,,,,,False,True,False
4687986.0,2017-05-04 13:11:00,2021-05-06,N,6.0,Associates,Visual Arts - Design Spec.,Visual Arts & Design,"Arts, Comm, & New Media",69.0,N,N,,4.0,Spring 2021,,,,,,,,False,True,False
4687986.0,2017-03-01 13:37:00,2021-05-06,N,6.0,Associates,Graphic Communications,Visual Arts & Design,"Arts, Comm, & New Media",,N,N,,4.0,Spring 2021,,,,,,,,False,False,False
5827117.0,2018-04-23 09:10:00,2021-05-06,N,38.0,Associates,Physics,Physics,"Science, Math & Engineering",63.0,N,N,,2.55,Spring 2021,,,,,,,,False,True,False
5578085.0,2018-07-31 16:20:00,2021-05-06,N,62.0,Associates,Computer Sci & Info Systems,Comp. Sciences & Info. Systems,Business,,N,N,,3.826,Spring 2021,Female,White,N,N,Y,08-JAN-18  12:00 AM,,False,False,False
6035808.0,2017-12-15 16:12:00,2021-05-06,N,59.0,Associates,American Sign Language,Unknown,Unknown,63.0,U,U,,3.866,Spring 2021,,,,,,,,False,True,False
6277385.0,2018-02-01 14:38:00,2021-05-06,N,3.0,Unknown,General Studies,Unknown,Unknown,,U,U,,2.4,Spring 2021,,,,,,,,False,False,False
